e,country,city,line,start_year,end_year,rr,length,tunnel_per,tunnel,stations,source1,cost,currency,year,ppp_rate,real_cost,cost_km_millions,source2,reference
7937,CN,Hangzhou,Line 1 Phase 3,2017,2022,0,11.5,100.00%,11.5,5,Plan,7796,CNY,2016,0.2507,1954.37,169.95,Plan,https://www.ndrc.gov.cn/xxgk/zcfb/ghwb/201612/W020190905497886107757.pdf
8001,CN,Hangzhou,Line 7,2017,2021,0,45,100.00%,45,24,Plan,28997,CNY,2016,0.239,6930.45,154.01,Plan,https://www.ndrc.gov.cn/xxgk/zcfb/ghwb/201612/W020190905497886107757.pdf
8024,CN,Hangzhou,Line 2 Phase 3,2017,2020,0,1.6,NA,NA,1,Plan,988,CNY,2016,0.239,236.14,147.59,Plan,https://www.ndrc.gov.cn/xxgk/zcfb/ghwb/201612/W020190905497886107757.pdf
8057,CN,Hangzhou,Line 5 Phase 2,2017,2020,0,3.2,NA,NA,2,Plan,1754,CNY,2016,0.239,419.22,131.01,Plan,https://www.ndrc.gov.cn/xxgk/zcfb/ghwb/201612/W020190905497886107757.pdf
7739,CN,Hefei,Line 2 Eastern Extension,not start,NA,0,14.5,100.00%,14.5,11,Plan,10107,CNY,2020,0.2382,2407.49,166.03,Plan,http://zfxxgk.ndrc.gov.cn/web/iteminfo.jsp?id=16921
7744,CN,Hefei,Line 3 Southern Extension,not start,NA,0,11.25,100.00%,11.25,8,Plan,8968,CNY,2020,0.2382,2136.18,189.88,Plan,http://zfxxgk.ndrc.gov.cn/web/iteminfo.jsp?id=16921
7745,CN,Hefei,Line 4 Southern Extension,not start,NA,0,12.91,51.12%,6.6,7,Plan,7067,CNY,2020,0.2382,1683.36,130.39,Plan,http://zfxxgk.ndrc.gov.cn/web/iteminfo.jsp?id=16921
7746,CN,Hefei,Line 6 Phase 1,not start,NA,0,27.3,100.00%,27.3,17,Plan,20585,CNY,2020,0.2382,4903.35,179.61,Plan,http://zfxxgk.ndrc.gov.cn/web/iteminfo.jsp?id=16921
7747,CN,Hefei,Line 7 Phase 1,not start,NA,0,21,100.00%,21,17,Plan,16881,CNY,2020,0.2382,4021.05,191.48,Plan,http://zfxxgk.ndrc.gov.cn/web/iteminfo.jsp?id=16921
7752,CN,Hefei,Line 8 Phase 1,not start,NA,0,23,100.00%,23,12,Plan,16201,CNY,2020,0.2382,3859.08,167.79,Plan,http://zfxxgk.ndrc.gov.cn/web/iteminfo.jsp?id=16921
7936,CN,Hefei,Line 5 Phase 1,2016,2020,0,40.3,100.00%,40.3,34,Plan,28424,CNY,2014,0.266,7561.59,187.63,Plan,https://www.ndrc.gov.cn/xxgk/zcfb/tz/201412/W020190905507203840468.pdf
7946,CN,Hefei,Line 3 Phase 1,2014,2019,0,37.7,92.00%,34.6,32,Plan,26071,CNY,2014,0.266,6935.62,183.97,Plan,https://www.ndrc.gov.cn/xxgk/zcfb/tz/201412/W020190905507203840468.pdf
7971,CN,Hefei,Line 4 Phase 1,2015,2020,0,36,100.00%,36,28,Plan,24289,CNY,2014,0.266,6461.56,179.49,Plan,https://www.ndrc.gov.cn/xxgk/zcfb/tz/201412/W020190905507203840468.pdf
7978,CN,Hefei,Line 1 Phase 1+2,2012,NA,0,24.58,100.00%,24.58,26,Measured,16496,CNY,2012,0.2808,4632.41,188.46,Media,https://www.sohu.com/a/112444814_268310
7753,CN,Kunming,Line 1 Phase 1 and Line 2 Phase 1,2010,2014,0,42.1,69.83%,29.4,31,Plan,23137,CNY,2010,0.3004,6950.14,165.09,Media,https://www.kankanyn.com/jianwen/34919.html
7939,CN,Kunming,Line 1 Northwestern Extension,2014,2016,0,7.9,100.00%,7.9,7,Plan,5571,CNY,2013,0.2729,1520.47,192.46,Plan,http://zfxxgk.ndrc.gov.cn/web/iteminfo.jsp?id=12400
8019,CN,Kunming,Line 1 Feeder,2013,2015,0,5.2,100.00%,5.2,4,Plan,3306,CNY,2013,0.2729,902.29,173.52,Plan,http://zfxxgk.ndrc.gov.cn/web/iteminfo.jsp?id=12400
8051,CN,Kunming,Line 3 Phase 2,2016,2018,0,4,0.00%,NA,3,Plan,2267,CNY,2013,0.2729,618.72,154.68,Plan,http://zfxxgk.ndrc.gov.cn/web/iteminfo.jsp?id=12400
8072,CN,Kunming,Line 5,2015,2018,0,24,NA,NA,20,Plan,12911,CNY,2013,0.2729,3523.74,146.82,Plan,http://zfxxgk.ndrc.gov.cn/web/iteminfo.jsp?id=12400
8098,CN,Kunming,Line 4,2016,2019,0,43.5,100.00%,43.5,26,Plan,21564,CNY,2013,0.2729,5885.37,135.3,Plan,http://zfxxgk.ndrc.gov.cn/web/iteminfo.jsp?id=12400
8128,CN,Kunming,Line 6,2013,2015,0,25.4,NA,NA,6,Plan,10151,CNY,2013,0.2729,2770.47,109.07,Plan,http://zfxxgk.ndrc.gov.cn/web/iteminfo.jsp?id=12400
8137,CN,Kunming,Line 1 Southern Extension,2013,2015,0,7.3,NA,NA,3,Plan,2395,CNY,2013,0.2729,653.66,89.54,Plan,http://zfxxgk.ndrc.gov.cn/web/iteminfo.jsp?id=12400
8154,CN,Lanzhou,Line 2 Phase 1,2015,2020,0,9.4,100.00%,9.4,8,Plan,5762,CNY,2012,0.2808,1618.08,172.14,Plan,https://www.ndrc.gov.cn/fggz/zcssfz/zdgc/201209/t20120905_1145859.html
8155,CN,Lanzhou,Line 1 Phase 1,2011,2016,0,26.6,100.00%,26.6,20,Plan,17160,CNY,2012,0.2808,4818.87,181.16,Plan,https://www.ndrc.gov.cn/fggz/zcssfz/zdgc/201209/t20120905_1145859.html
7803,CN,Nanchang,Line 2 Eastern Extension,2017,2020,0,4.7,100.00%,4.7,4,Plan,4420,CNY,2015,0.2583,1141.82,242.94,Plan,http://zfxxgk.ndrc.gov.cn/web/iteminfo.jsp?id=316
7842,CN,Nanchang,Line 3,2015,2020,0,26.8,100.00%,26.8,NA,Plan,22050,CNY,2015,0.2889,6370.99,237.72,Plan,http://zfxxgk.ndrc.gov.cn/web/iteminfo.jsp?id=316
7905,CN,Nanchang,Line 4 Phase 1,2016,2021,0,38.2,84.29%,32.2,29,Plan,28650,CNY,2015,0.2583,7401.19,193.75,Plan,http://zfxxgk.ndrc.gov.cn/web/iteminfo.jsp?id=316
8091,CN,Nanchang,Line 1 Eastern Extension,2018,2021,0,4.1,100.00%,4.1,2,Plan,2040,CNY,2015,0.2729,556.77,135.8,Plan,http://zfxxgk.ndrc.gov.cn/web/iteminfo.jsp?id=316
8107,CN,Nanchang,Line 2 Western Extension,2015,2018,0,8.5,100.00%,8.5,7,Plan,3930,CNY,2015,0.2729,1072.6,126.19,Plan,http://zfxxgk.ndrc.gov.cn/web/iteminfo.jsp?id=316
7730,CN,Nanjing,Line 1 Phase 1,2000,2005,0,21.72,65.98%,14.33,16,Media,8500,CNY,2000,0.3678,3126.15,143.93,Media,https://baike.baidu.com/item/%E5%8D%97%E4%BA%AC%E5%9C%B0%E9%93%811%E5%8F%B7%E7%BA%BF
7825,CN,Nanjing,Line 5,2015,2020,0,37.2,100.00%,37.2,29,Plan,31680,CNY,2015,0.2583,8183.93,220,Plan,https://www.ndrc.gov.cn/fggz/zcssfz/zcgh/201505/W020190910670534928118.pdf
7834,CN,Nanjing,Line 1 Northern Extension,2015,2019,0,7.2,93.00%,6.7,5,Plan,5940,CNY,2015,0.2583,1534.49,213.12,Plan,https://www.ndrc.gov.cn/fggz/zcssfz/zcgh/201505/W020190910670534928118.pdf
7848,CN,Nanjing,Line 4 Phase 2,2016,2020,0,9.7,100.00%,9.7,6,Plan,7895,CNY,2016,0.2507,1979.19,204.04,Plan,https://www.ndrc.gov.cn/xxgk/zcfb/ghwb/201611/W020190905497856961234.pdf
7850,CN,Nanjing,Line 10 Phase 2,2017,2020,0,12.1,100.00%,12.1,7,Plan,9720,CNY,2015,0.2583,2510.98,207.52,Plan,https://www.ndrc.gov.cn/fggz/zcssfz/zcgh/201505/W020190910670534928118.pdf
7875,CN,Nanjing,Line 9 Phase 1,2016,2020,0,18,100.00%,18,15,Plan,14110,CNY,2015,0.2583,3645.05,202.5,Plan,https://www.ndrc.gov.cn/fggz/zcssfz/zcgh/201505/W020190910670534928118.pdf
7891,CN,Nanjing,Line 2 Western Extension,2017,2020,0,5.6,100.00%,5.6,4,Plan,4280,CNY,2015,0.2583,1105.66,197.44,Plan,https://www.ndrc.gov.cn/fggz/zcssfz/zcgh/201505/W020190910670534928118.pdf
7897,CN,Nanjing,Line 7,2016,2020,0,35.7,100.00%,35.7,25,Plan,27220,CNY,2015,0.2583,7031.77,196.97,Plan,https://www.ndrc.gov.cn/fggz/zcssfz/zcgh/201505/W020190910670534928118.pdf
7945,CN,Nanjing,Line 6,2016,2020,0,34.8,100.00%,34.8,17,Plan,23900,CNY,2015,0.2583,6174.12,177.42,Plan,https://www.ndrc.gov.cn/fggz/zcssfz/zcgh/201505/W020190910670534928118.pdf
7947,CN,Nanjing,Line S8 Southern Extension,2017,2020,0,2.5,100.00%,2.5,2,Plan,1711,CNY,2016,0.239,408.94,163.58,Plan,https://www.ndrc.gov.cn/xxgk/zcfb/ghwb/201611/W020190905497856961234.pdf
7969,CN,Nanjing,Line 11 Phase 1,2017,2021,0,27,95.93%,25.9,20,Plan,18171,CNY,2016,0.239,4342.97,160.85,Plan,https://www.ndrc.gov.cn/xxgk/zcfb/ghwb/201611/W020190905497856961234.pdf
8080,CN,Nanjing,Line 3 Phase 3,2015,2017,0,6.6,100.00%,6.6,2,Plan,3370,CNY,2015,0.2583,870.58,131.91,Plan,https://www.ndrc.gov.cn/fggz/zcssfz/zcgh/201505/W020190910670534928118.pdf
7857,CN,Nanning,Line 5 Phase 1,2016,2020,0,20.6,100.00%,20.6,18,Media,15311,CNY,2015,0.2583,3955.31,192.01,Media,http://gx.people.com.cn/n/2015/0520/c179430-24930122-2.html
7896,CN,Nanning,Line 2 Eastern Extension,2017,2021,0,6.5,100.00%,6.5,4,Media,4898,CNY,2017,0.239,1170.65,180.1,Media,http://www.nngdjt.com/html/4061/8670.html
7929,CN,Nanning,Line 4 Phase 1,2015,2019,0,21.4,100.00%,21.4,17,Plan,15119,CNY,2015,0.2583,3905.71,182.51,Plan,https://www.ndrc.gov.cn/xxgk/zcfb/ghwb/201505/t20150518_962149.html
7930,CN,Nanning,Line 3 Phase1,2015,2019,0,27.7,100.00%,27.7,23,Plan,19343,CNY,2015,0.2583,4996.9,180.39,Media,http://www.nngdjt.com/html/4061/6290.html
7658,CN,Shanghai,Line 2 Eastern Extension 1,1999,2000,0,2.72,31.99%,0.87,1,Wiki,314.77,CNY,1999,0.37,116.46,42.82,Plan,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E8%BD%A8%E9%81%93%E4%BA%A4%E9%80%9A2%E5%8F%B7%E7%BA%BF
7659,CN,Shanghai,Line 2 Western Extension 1,2001,2006,0,6.155,100.00%,6.155,4,Wiki,3488.42,CNY,2004,0.3545,1236.64,200.92,Plan,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E8%BD%A8%E9%81%93%E4%BA%A4%E9%80%9A2%E5%8F%B7%E7%BA%BF
7664,CN,Shanghai,Line 2 Eastern Extension 2,2006,2010,0,30.8,69.81%,21.5,10,Measured,11032,CNY,2008,0.3143,3467.36,112.58,Plan,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E8%BD%A8%E9%81%93%E4%BA%A4%E9%80%9A2%E5%8F%B7%E7%BA%BF
7666,CN,Shanghai,Line 3,1997,2000,0,24.975,0.00%,0,19,Wiki,9378,CNY,1998,0.37,3469.86,138.93,Plan,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E8%BD%A8%E9%81%93%E4%BA%A4%E9%80%9A3%E5%8F%B7%E7%BA%BF
7673,CN,Shanghai,Line 5 Phase 1,2000,2002,0,17.206,0.00%,0,11,Wiki,3437,CNY,2001,0.3683,1265.85,73.57,Plan,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E8%BD%A8%E9%81%93%E4%BA%A4%E9%80%9A5%E5%8F%B7%E7%BA%BF
7674,CN,Shanghai,Line 5 Southern Extension,2014,2018,0,19.628,39.47%,7.747,9,Wiki,10619,CNY,2016,0.2507,2662.18,135.63,Plan,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E8%BD%A8%E9%81%93%E4%BA%A4%E9%80%9A5%E5%8F%B7%E7%BA%BF
7675,CN,Shanghai,Line 7 Phase 1,2005,2009,0,34.388,100.00%,34.388,28,Wiki,18700,CNY,2007,0.3323,6214.01,180.7,Plan,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E8%BD%A8%E9%81%93%E4%BA%A4%E9%80%9A7%E5%8F%B7%E7%BA%BF
7680,CN,Shanghai,Line 7 Northern Extension,2009,2011,0,9.978,70.25%,7.01,5,Wiki,3157,CNY,2010,0.3004,948.36,95.05,Plan,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E8%BD%A8%E9%81%93%E4%BA%A4%E9%80%9A7%E5%8F%B7%E7%BA%BF
7683,CN,Shanghai,Line 9 Phase 2,2005,2009,0,14.5,100.00%,14.5,10,Wiki,8940,CNY,2007,0.3323,2970.76,204.88,Plan,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E8%BD%A8%E9%81%93%E4%BA%A4%E9%80%9A9%E5%8F%B7%E7%BA%BF
7688,CN,Shanghai,Line 9 Phase 3,2009,2012,0,5.372,100.00%,5.372,3,Wiki,2800,CNY,2010,0.3004,841.12,156.57,Plan,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E8%BD%A8%E9%81%93%E4%BA%A4%E9%80%9A9%E5%8F%B7%E7%BA%BF
7689,CN,Shanghai,Line 9 Phase 3 Eastern Extension,2013,2017,0,13.828,100.00%,13.828,9,Wiki,12713,CNY,2015,0.2583,3283.77,237.47,Plan,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E8%BD%A8%E9%81%93%E4%BA%A4%E9%80%9A9%E5%8F%B7%E7%BA%BF
7690,CN,Shanghai,Line 10 Phase 1,2005,2010,0,36.221,100.00%,36.221,31,Wiki,23784,CNY,2007,0.3323,7903.42,218.2,Plan,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E8%BD%A8%E9%81%93%E4%BA%A4%E9%80%9A10%E5%8F%B7%E7%BA%BF
7691,CN,Shanghai,Line 11 Phase 1,2007,2009,0,46.008,47.11%,21.676,21,Wiki,18950,CNY,2008,0.3143,5955.99,129.46,Plan,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E8%BD%A8%E9%81%93%E4%BA%A4%E9%80%9A11%E5%8F%B7%E7%BA%BF
7754,CN,Shanghai,Line 1 Western Extension,NA,NA,0,1.2,0.00%,0,1,Plan,3575,CNY,2018,0.2379,850.38,708.65,Plan,https://www.ndrc.gov.cn/fggz/zcssfz/zcgh/201812/W020190910670719961874.pdf
7755,CN,Shanghai,Line 20 Phase 1,NA,NA,0,19.8,100.00%,19.8,16,Plan,39354,CNY,2018,0.2379,9361.08,472.78,Plan,https://www.ndrc.gov.cn/fggz/zcssfz/zcgh/201812/W020190910670719961874.pdf
7762,CN,Shanghai,Line 19,NA,NA,0,44.5,100.00%,44.5,32,Plan,60524,CNY,2018,0.2379,14396.76,323.52,Plan,https://www.ndrc.gov.cn/fggz/zcssfz/zcgh/201812/t20181219_1145778.html; http://shanghai.metrofans.cn/thread-443669-1-1.html
7763,CN,Shanghai,Line 21 Phase 1,NA,NA,0,28,100.00%,28,16,Plan,36956,CNY,2018,0.2379,8790.68,313.95,Plan,https://www.ndrc.gov.cn/fggz/zcssfz/zcgh/201812/W020190910670719961874.pdf; https://baike.baidu.com/item/%E4%B8%8A%E6%B5%B7%E5%9C%B0%E9%93%8121%E5%8F%B7%E7%BA%BF
7768,CN,Shanghai,Line 13 Western Extension,NA,NA,0,9.8,100.00%,9.8,5,Plan,12629,CNY,2018,0.2379,3004.04,306.54,Plan,https://www.ndrc.gov.cn/fggz/zcssfz/zcgh/201812/W020190910670719961874.pdf
7770,CN,Shanghai,Line 23 Phase 1,NA,NA,0,28,100.00%,28,22,Plan,33729,CNY,2018,0.2379,8023.07,286.54,Plan,https://www.ndrc.gov.cn/fggz/zcssfz/zcgh/201812/W020190910670719961874.pdf
7819,CN,Shanghai,Jiamin,NA,NA,0,41.6,84.00%,35,15,Plan,37101,CNY,2018,0.2379,8825.17,212.14,Plan,https://www.ndrc.gov.cn/fggz/zcssfz/zcgh/201812/W020190910670719961874.pdf
7858,CN,Shanghai,Line 8 Phase 1,NA,2009,0,23.22,100.00%,23.22,22,Media,14493,CNY,2001,0.3683,5338.12,229.89,Media,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E8%BD%A8%E9%81%93%E4%BA%A4%E9%80%9A8%E5%8F%B7%E7%BA%BF
7954,CN,Shanghai,Airport Contact Line,2019,2025,0,68.6,83.00%,56.7,9,Plan,48054,CNY,2018,0.2379,11430.54,166.63,Plan,https://www.ndrc.gov.cn/fggz/zcssfz/zcgh/201812/W020190910670719961874.pdf
8043,CN,Shanghai,Chongming,NA,NA,0,44.6,59.00%,26.1,8,Plan,26426,CNY,2018,0.2379,6285.92,140.94,Plan,https://www.ndrc.gov.cn/fggz/zcssfz/zcgh/201812/W020190910670719961874.pdf; https://xxgk.eic.sh.cn/jsxmxxgk/eiareport/action/jsxm_eiaReportDetail.do?from=jsxm&stEiaId=3ddc18bc-61f2-41e9-af7a-02be49b0e715&type=%E6%8A%A5%E5%91%8A%E4%B9%A6
8105,CN,Shanghai,Line 11 (to Disney),NA,2016,0,9.15,15.96%,1.46,3,Media,4371,CNY,2012,0.2808,1227.46,134.15,Media,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E8%BD%A8%E9%81%93%E4%BA%A4%E9%80%9A11%E5%8F%B7%E7%BA%BF
8113,CN,Shanghai,Line 6,2002,2011,0,33.09,63.61%,21.05,28,Plan,12000,CNY,2002,0.3719,4462.63,134.86,Media,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E8%BD%A8%E9%81%93%E4%BA%A4%E9%80%9A6%E5%8F%B7%E7%BA%BF
8136,CN,Shanghai,Line 8 Phase 3 (Pujiang Line),2016,2018,0,6.689,0.00%,0,6,Media,3177,CNY,2015,0.2729,867.09,129.63,Media,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E8%BD%A8%E9%81%93%E4%BA%A4%E9%80%9A%E6%B5%A6%E6%B1%9F%E7%BA%BF#cite_note-4
9461,CN,Shanghai,Line 15,2015,2020,0,42.3,100.00%,42.3,30,Media,47650,CNY,2014,0.266,12676.24,299.67,Media,https://www.wikiwand.com/zh/%E4%B8%8A%E6%B5%B7%E5%9C%B0%E9%93%81; http://jz.docin.com/p-947723260.html
9462,CN,Shanghai,Line 14,2016,2020,0,38.514,100.00%,38.514,31,Media,57686,CNY,2013,0.2729,15744,408.79,Media,https://max.book118.com/html/2017/0817/128471200.shtm
9467,CN,Shanghai,Line 16,2010,2014,0,58.96,23.22%,13.69,NA,Media,18160,CNY,2010,0.3004,5455.264,92.52,Media,https://www.sohu.com/a/134664821_249521;  https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E8%BD%A8%E9%81%93%E4%BA%A4%E9%80%9A16%E5%8F%B7%E7%BA%BF
7923,CN,Shenyang,Line 6 Phase 1,2020,2026,0,36,NA,NA,32,Plan,26350,CNY,2019,0.2382,6276.8,174.36,Media,http://www.shenyangbus.com/a/sydt/2018/1227/10268.html
7938,CN,Shenyang,Line 2 Southern Extension,NA,NA,0,14.3,NA,NA,8,Plan,10170,CNY,2019,0.2382,2422.58,169.41,Media,http://www.shenyangbus.com/a/sydt/2018/1227/10268.html
7968,CN,Shenyang,Line 1 Eastern Extension,2020,2025,0,15,100.00%,15,9,Plan,10350,CNY,2019,0.2382,2465.46,164.36,Media,http://www.shenyangbus.com/a/sydt/2018/1227/10268.html; https://3g.163.com/dy/article_cambrian/FBU1V3JE052590Q7.html
8035,CN,Shenyang,Line 3 Phase 1,2019,2025,0,38.4,NA,NA,28,Plan,23130,CNY,2019,0.2382,5509.77,143.48,Media,http://www.shenyangbus.com/a/sydt/2018/1227/10268.html
7706,CN,Shenzhen,Line 6 Phase 1,2015,2020,0,37.626,34.58%,13.01,20,Media,16800,CNY,2013,0.2729,4585.15,121.86,Media,https://web.archive.org/web/20130322011109/http://www.sz.gov.cn/cn/xxgk/szgg/tzgg/201303/t20130313_2114458.htm
7707,CN,Shenzhen,Line 6 (feeder),2018,2022,0,6.13,86.54%,5.305,4,Media,3795,CNY,2018,0.2379,902.71,147.26,Media,http://fgw.sz.gov.cn/zwgk/qt/tzgg/201902/P020190226346098115982.pdf; https://www.sohu.com/a/224155978_729676
7712,CN,Shenzhen,Line 3 Phase 4,NA,2022,0,9.35,79.36%,7.42,7,Plan,10785,CNY,2020,0.2382,2568.99,274.76,Plan,https://www.ndrc.gov.cn/xxgk/zcfb/ghwb/201707/W020190905497930956563.pdf
7713,CN,Shenzhen,Line 12 Phase 2,not start,NA,0,8.05,100.00%,8.05,6,Plan,9094,CNY,2020,0.2382,2166.19,269.09,Media,https://huacheng.gz-cmc.com/pages/2020/09/02/12217064331742859f82edec5e61f9ff.html
7714,CN,Shenzhen,Line 13 Northern Extension,2020,NA,0,18.8,100.00%,18.8,11,Plan,22918,CNY,2020,0.2382,5459.07,290.38,Media,http://jt.sz.bendibao.com/z/metro/xl_617.shtml; https://zh.wikipedia.org/wiki/%E6%B7%B1%E5%9C%B3%E5%9C%B0%E9%90%B513%E8%99%9F%E7%B7%9A
7715,CN,Shenzhen,Line 13 Southern Extension,2020,2025,0,4.47,100.00%,4.47,3,Plan,4962,CNY,2020,0.2382,1181.95,264.42,Plan,https://www.ndrc.gov.cn/xxgk/zcfb/ghwb/201707/W020190905497930956563.pdf
7720,CN,Shenzhen,Line 16 Phase 2,not start,NA,0,9.53,100.00%,9.53,7,Plan,10995,CNY,2020,0.2382,2619.01,274.82,Plan,http://fgw.sz.gov.cn/zwgk/qt/tzgg/content/post_7256583.html
7721,CN,Shenzhen,Line 7 Phase 2,not start,NA,0,2.45,100.00%,2.45,2,Plan,2806,CNY,2020,0.2382,668.39,272.81,Plan,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202004/t20200410_1225513.html
7722,CN,Shenzhen,Line 8 Phase 3,NA,2025,0,4.26,100.00%,4.26,NA,Plan,8318,CNY,2020,0.2382,1981.35,465.11,Plan,https://www.ndrc.gov.cn/xxgk/zcfb/ghwb/201707/W020190905497930956563.pdf
7723,CN,Shenzhen,Line 11 Phase 2,not start,NA,0,5.58,100.00%,5.58,3,Plan,6634,CNY,2020,0.2382,1580.22,283.19,Plan,https://www.ndrc.gov.cn/xxgk/zcfb/ghwb/201707/W020190905497930956563.pdf
7728,CN,Shenzhen,Line 20 Phase 1,2020,2021,0,8.43,100.00%,8.43,5,Media,12516,CNY,2020,0.2382,2981.31,353.65,Media,https://zh.wikipedia.org/wiki/%E6%B7%B1%E5%9C%B3%E5%9C%B0%E9%90%B520%E8%99%9F%E7%B7%9A; https://dy.163.com/article/FL78MJRI0539880T.html
7771,CN,Shenzhen,Line 13,2018,2023,0,23,100.00%,23,14,Plan,21480,CNY,2017,0.239,5133.84,223.21,Plan,https://www.ndrc.gov.cn/xxgk/zcfb/ghwb/201707/W020190905497930956563.pdf
7784,CN,Shenzhen,Line 12,2017,2022,0,40,100.00%,40,33,Plan,38140,CNY,2017,0.239,9115.68,227.89,Plan,https://www.ndrc.gov.cn/xxgk/zcfb/ghwb/201707/W020190905497930956563.pdf
7810,CN,Shenzhen,Line 16,2018,2023,0,27.6,100.00%,27.6,24,Media,27530,CNY,2017,0.239,6579.83,238.4,Plan,https://www.ndrc.gov.cn/xxgk/zcfb/ghwb/201707/W020190905497930956563.pdf
7827,CN,Shenzhen,Line 14,2018,2022,0,51.9,100.00%,51.9,17,Plan,42970,CNY,2017,0.239,10270.08,197.88,Plan,https://www.ndrc.gov.cn/xxgk/zcfb/ghwb/201707/W020190905497930956563.pdf
7920,CN,Suzhou,Line 7,NA,NA,0,27,100.00%,27,23,Plan,18560,CNY,2018,0.2379,4414.84,163.51,Plan,https://www.ndrc.gov.cn/xxgk/zcfb/ghwb/201809/W020190905497960329280.pdf
7995,CN,Suzhou,Line 8,NA,NA,0,35.2,100.00%,35.2,26,Plan,23660,CNY,2018,0.2379,5627.97,159.89,Plan,https://www.ndrc.gov.cn/xxgk/zcfb/ghwb/201809/W020190905497960329280.pdf
8000,CN,Suzhou,Line S1,NA,2023,0,41,100.00%,41,27,Plan,27370,CNY,2018,0.2379,6510.47,158.79,Plan,https://www.ndrc.gov.cn/xxgk/zcfb/ghwb/201809/W020190905497960329280.pdf
8009,CN,Suzhou,Line 6,2018,2023,0,34.2,100.00%,34.2,28,Plan,23740,CNY,2018,0.2379,5647,165.12,Plan,https://www.ndrc.gov.cn/xxgk/zcfb/ghwb/201809/W020190905497960329280.pdf
8002,CN,Taiyuan,Line 1 Phase 1,2014,2018,0,24.1,NA,NA,21,Plan,15790,CNY,2012,0.2808,4434.15,183.99,Media,http://finance.sina.com.cn/roll/20120905/131013052588.shtml
8033,CN,Taiyuan,Line 2 Phase 1,2012,2016,0,25.1,NA,NA,22,Plan,15139,CNY,2012,0.2808,4251.33,169.38,Media,http://finance.sina.com.cn/roll/20120905/131013052588.shtml
7787,CN,Tianjin,M8 Phase 1,2017,2020,0,20,100.00%,20,18,Plan,20053,CNY,2015,0.2583,5180.32,259.02,Media,https://wenku.baidu.com/view/801ab19a8ad63186bceb19e8b8f67c1cfbd6ee6e.html
7800,CN,Tianjin,M10 Phase 1,2015,2020,0,24,100.00%,24,23,Plan,23203,CNY,2015,0.2583,5994.06,249.75,Media,https://wenku.baidu.com/view/801ab19a8ad63186bceb19e8b8f67c1cfbd6ee6e.html
7801,CN,Tianjin,M7 Phase 1,2017,2020,0,26.9,100.00%,26.9,24,Plan,25704,CNY,2015,0.2583,6640.14,246.85,Media,https://wenku.baidu.com/view/801ab19a8ad63186bceb19e8b8f67c1cfbd6ee6e.html
7809,CN,Tianjin,M11 Phase 1,2017,2020,0,25.4,100.00%,25.4,25,Plan,23607,CNY,2015,0.2583,6098.42,240.1,Media,https://wenku.baidu.com/view/801ab19a8ad63186bceb19e8b8f67c1cfbd6ee6e.html
7826,CN,Tianjin,B1 Phase 1,2015,2020,0,31.4,90.13%,28.3,22,Plan,26488,CNY,2015,0.2583,6842.68,217.92,Media,http://www.rail-transit.com/file/upload/201907/15/10573644162.pdf
7984,CN,Tianjin,Z4 Phase 1,2015,2020,0,43.7,34.55%,15.1,20,Plan,28699,CNY,2015,0.2583,7413.85,169.65,Media,http://www.rail-transit.com/file/upload/201907/15/10573644162.pdf
8050,CN,Tianjin,Z2 Phase 1,2017,2020,0,52.8,33.90%,17.9,5,Plan,29975,CNY,2015,0.2583,7743.48,146.66,Media,https://wenku.baidu.com/view/801ab19a8ad63186bceb19e8b8f67c1cfbd6ee6e.html
8120,CN,Tianjin,M3 Phase 2,NA,NA,0,3.9,0.00%,0,3,Plan,1704,CNY,2015,0.2729,465.07,119.25,Media,https://wenku.baidu.com/view/801ab19a8ad63186bceb19e8b8f67c1cfbd6ee6e.html
8146,CN,Wenzhou,S1 Phase 1,2013,2019,0,53.5,18.69%,10,21,Media,18606.83,CNY,2014,0.266,4949.94,92.52,Media,http://zjjcmspublic.oss-cn-hangzhou-zwynet-d01-a.internet.cloud.zj.gov.cn/jcms_files/jcms1/web1825/site/attach/0/150120083915404.pdf
